epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,10933,0.47151,0.2729,0.87538,0.98485,0.98894,0.99222,0.86245,0.58273,0.27301,0.95208,0.0008251,0.0008251,0.0008251
55,11116.2,0.46838,0.2755,0.87571,0.98463,0.987,0.99289,0.87337,0.55593,0.27476,0.93729,0.0008218,0.0008218,0.0008218
56,11289.4,0.47279,0.26872,0.88539,0.98227,0.99177,0.99075,0.86332,0.56562,0.27594,0.94496,0.0008185,0.0008185,0.0008185
57,11496.9,0.46856,0.27485,0.87413,0.98581,0.98918,0.99219,0.87183,0.56476,0.2773,0.9462,0.0008152,0.0008152,0.0008152
58,11665.6,0.45671,0.26658,0.87637,0.97966,0.99274,0.99247,0.86567,0.57464,0.27258,0.94557,0.0008119,0.0008119,0.0008119
59,11872.9,0.46559,0.27049,0.87455,0.97898,0.98846,0.99333,0.87298,0.5551,0.27377,0.94732,0.0008086,0.0008086,0.0008086
60,12058.2,0.45622,0.26323,0.86894,0.9769,0.99288,0.99195,0.87004,0.55451,0.27975,0.93957,0.0008053,0.0008053,0.0008053
61,12242.6,0.4584,0.26265,0.87308,0.97703,0.99271,0.99254,0.87558,0.55899,0.27296,0.93747,0.000802,0.000802,0.000802
62,12419.6,0.4533,0.26477,0.87315,0.97999,0.99411,0.99273,0.87911,0.56081,0.27396,0.93011,0.0007987,0.0007987,0.0007987
63,12596.7,0.44641,0.26517,0.87405,0.98285,0.9922,0.99259,0.87315,0.56514,0.26548,0.93817,0.0007954,0.0007954,0.0007954
64,12768.7,0.45054,0.26509,0.86979,0.9807,0.98542,0.99316,0.87967,0.54095,0.27147,0.92408,0.0007921,0.0007921,0.0007921
65,12946.4,0.44473,0.25468,0.86435,0.97921,0.98641,0.99214,0.87953,0.54324,0.26082,0.93101,0.0007888,0.0007888,0.0007888
66,13126.8,0.43663,0.2525,0.86363,0.98063,0.98944,0.99291,0.87744,0.52074,0.26172,0.91534,0.0007855,0.0007855,0.0007855
67,13324,0.44924,0.26094,0.87099,0.98224,0.99168,0.99347,0.88724,0.52482,0.25619,0.92102,0.0007822,0.0007822,0.0007822
68,13509.8,0.4243,0.25387,0.85956,0.98958,0.98972,0.99372,0.89076,0.5239,0.25826,0.9223,0.0007789,0.0007789,0.0007789
69,13690.9,0.41312,0.25335,0.86451,0.98257,0.98474,0.99239,0.87933,0.52516,0.27435,0.92073,0.0007756,0.0007756,0.0007756
70,13906.1,0.40996,0.24854,0.85336,0.99069,0.98842,0.99398,0.8868,0.5126,0.25053,0.91695,0.0007723,0.0007723,0.0007723
71,14085.5,0.41145,0.24541,0.85885,0.98969,0.98588,0.99402,0.88994,0.51119,0.24765,0.91696,0.000769,0.000769,0.000769
72,14261.7,0.42058,0.25105,0.86334,0.9907,0.98318,0.99293,0.89352,0.50264,0.24571,0.90852,0.0007657,0.0007657,0.0007657
73,14441.6,0.41924,0.24628,0.86123,0.98278,0.99351,0.99355,0.88911,0.50731,0.24861,0.91024,0.0007624,0.0007624,0.0007624
74,14616.1,0.40642,0.24262,0.85175,0.98669,0.98867,0.99343,0.89668,0.49663,0.24541,0.91015,0.0007591,0.0007591,0.0007591
75,14781.8,0.40901,0.24544,0.85748,0.97978,0.98926,0.99394,0.88624,0.52151,0.2556,0.91807,0.0007558,0.0007558,0.0007558
76,14964.9,0.42096,0.25277,0.85949,0.98624,0.99093,0.99359,0.89187,0.51017,0.24281,0.91875,0.0007525,0.0007525,0.0007525
77,15140.6,0.41664,0.24522,0.8632,0.98793,0.98267,0.99338,0.8953,0.50278,0.24691,0.90801,0.0007492,0.0007492,0.0007492
78,15313.3,0.40004,0.23907,0.85536,0.98811,0.99286,0.99259,0.88348,0.49652,0.24555,0.90758,0.0007459,0.0007459,0.0007459
79,15497.6,0.40273,0.24061,0.85373,0.98944,0.99042,0.99237,0.88892,0.49395,0.25107,0.91101,0.0007426,0.0007426,0.0007426
80,15677.7,0.40726,0.24801,0.8641,0.97889,0.9902,0.99361,0.88007,0.50625,0.25401,0.91099,0.0007393,0.0007393,0.0007393
81,15865,0.40225,0.24439,0.85773,0.98574,0.99224,0.99303,0.8923,0.49526,0.24502,0.90779,0.000736,0.000736,0.000736
82,16036.9,0.39987,0.23928,0.85148,0.98265,0.98957,0.99323,0.89396,0.51125,0.25389,0.91381,0.0007327,0.0007327,0.0007327
83,16215,0.40643,0.24197,0.86204,0.98463,0.98876,0.9935,0.90439,0.49458,0.24424,0.89811,0.0007294,0.0007294,0.0007294
84,16393.7,0.39683,0.23951,0.84966,0.99012,0.98815,0.99339,0.89953,0.48328,0.24594,0.8976,0.0007261,0.0007261,0.0007261
85,16566,0.39274,0.2395,0.85513,0.98589,0.99101,0.994,0.89493,0.49262,0.24506,0.90386,0.0007228,0.0007228,0.0007228
86,16736.8,0.3849,0.23361,0.8494,0.98467,0.98443,0.99345,0.90101,0.49137,0.24344,0.8992,0.0007195,0.0007195,0.0007195
87,16920.4,0.39352,0.23724,0.84903,0.98049,0.99153,0.99389,0.90748,0.47945,0.24073,0.89541,0.0007162,0.0007162,0.0007162
88,17089.2,0.39228,0.23322,0.84594,0.98103,0.99055,0.99371,0.90386,0.49554,0.23754,0.90341,0.0007129,0.0007129,0.0007129
89,17283.7,0.38664,0.23285,0.8475,0.98558,0.98957,0.99382,0.90599,0.47747,0.23107,0.90137,0.0007096,0.0007096,0.0007096
90,17472.5,0.37515,0.22423,0.84781,0.98537,0.99084,0.99363,0.90649,0.48521,0.23915,0.90065,0.0007063,0.0007063,0.0007063
91,17646.1,0.37336,0.22862,0.84991,0.99007,0.9896,0.99378,0.91107,0.47823,0.23022,0.89543,0.000703,0.000703,0.000703
92,17853.5,0.37722,0.22756,0.84628,0.99045,0.98954,0.99376,0.91053,0.45633,0.22687,0.88564,0.0006997,0.0006997,0.0006997
93,18030.3,0.38611,0.2377,0.8459,0.98874,0.98851,0.99407,0.89056,0.50314,0.24918,0.90708,0.0006964,0.0006964,0.0006964
94,18209.2,0.38042,0.22862,0.84841,0.98514,0.99232,0.99429,0.90863,0.47322,0.23025,0.89988,0.0006931,0.0006931,0.0006931
95,18390,0.35882,0.22018,0.84224,0.99005,0.99337,0.99428,0.90825,0.46827,0.23308,0.89349,0.0006898,0.0006898,0.0006898
96,18563.8,0.35747,0.2241,0.84371,0.98824,0.98869,0.99432,0.91577,0.45981,0.22675,0.89286,0.0006865,0.0006865,0.0006865
97,18750.8,0.37048,0.22788,0.84793,0.98948,0.99628,0.99429,0.9159,0.45895,0.22578,0.88805,0.0006832,0.0006832,0.0006832
98,18931,0.3727,0.22594,0.84413,0.98489,0.99393,0.99387,0.91218,0.46931,0.22399,0.89102,0.0006799,0.0006799,0.0006799
99,19115.8,0.37655,0.22751,0.85088,0.99175,0.99323,0.99432,0.91624,0.44689,0.21729,0.88128,0.0006766,0.0006766,0.0006766
100,19308.6,0.35936,0.22168,0.82927,0.99149,0.9944,0.99378,0.90792,0.46226,0.23593,0.88951,0.0006733,0.0006733,0.0006733
101,19504.9,0.35827,0.2213,0.84039,0.9924,0.99088,0.9932,0.9132,0.46423,0.22687,0.88746,0.00067,0.00067,0.00067
102,19688.3,0.35861,0.22279,0.84042,0.99216,0.99177,0.99335,0.92076,0.43725,0.23038,0.87343,0.0006667,0.0006667,0.0006667
103,19860.6,0.35128,0.22458,0.8368,0.9905,0.9916,0.99355,0.91812,0.44447,0.22679,0.88223,0.0006634,0.0006634,0.0006634
104,20027,0.36032,0.22076,0.84322,0.99212,0.99428,0.99356,0.91134,0.44236,0.22268,0.8796,0.0006601,0.0006601,0.0006601
105,20226.8,0.35031,0.21643,0.83808,0.98609,0.99476,0.99356,0.92098,0.43256,0.21804,0.87972,0.0006568,0.0006568,0.0006568
106,20402.8,0.34688,0.2153,0.83872,0.99099,0.99346,0.99317,0.92266,0.4374,0.2144,0.87436,0.0006535,0.0006535,0.0006535
107,20597.1,0.34325,0.21534,0.83632,0.99002,0.99393,0.99393,0.92054,0.44165,0.22011,0.87947,0.0006502,0.0006502,0.0006502
108,20779.8,0.34729,0.21303,0.83701,0.99123,0.99249,0.99418,0.92136,0.44286,0.21662,0.87917,0.0006469,0.0006469,0.0006469
109,20951.8,0.35972,0.21298,0.83928,0.99233,0.99251,0.99429,0.923,0.44388,0.21581,0.87552,0.0006436,0.0006436,0.0006436
110,21111.4,0.34904,0.21346,0.83884,0.99171,0.99136,0.99395,0.92347,0.42935,0.21417,0.87077,0.0006403,0.0006403,0.0006403
111,21289.3,0.35316,0.21729,0.8329,0.9901,0.99271,0.99409,0.92518,0.43792,0.21724,0.87472,0.000637,0.000637,0.000637
112,21457.4,0.34159,0.21483,0.83264,0.9881,0.99447,0.9945,0.933,0.41563,0.20627,0.86348,0.0006337,0.0006337,0.0006337
113,21631,0.33222,0.20881,0.82198,0.98984,0.99487,0.99406,0.92722,0.43042,0.2242,0.86874,0.0006304,0.0006304,0.0006304
114,21816,0.3333,0.20747,0.83315,0.99079,0.99212,0.99423,0.91174,0.42077,0.22624,0.86638,0.0006271,0.0006271,0.0006271
115,21986.1,0.34052,0.21042,0.83231,0.99058,0.99502,0.99451,0.92841,0.4228,0.21358,0.87023,0.0006238,0.0006238,0.0006238
116,22153.9,0.34711,0.21901,0.83925,0.99354,0.99177,0.99461,0.92308,0.42176,0.21246,0.86742,0.0006205,0.0006205,0.0006205
117,22342.2,0.33415,0.21166,0.83122,0.98579,0.99284,0.99464,0.92102,0.41447,0.21134,0.86347,0.0006172,0.0006172,0.0006172
118,22526.2,0.34433,0.20942,0.83723,0.99308,0.99131,0.99472,0.92606,0.41398,0.20687,0.86022,0.0006139,0.0006139,0.0006139
119,22710.7,0.3154,0.19952,0.82706,0.99075,0.99318,0.99452,0.92784,0.39754,0.20508,0.85513,0.0006106,0.0006106,0.0006106
120,22877.3,0.31856,0.19652,0.83085,0.99198,0.99464,0.99443,0.92371,0.41148,0.20716,0.86337,0.0006073,0.0006073,0.0006073
121,23051.8,0.32696,0.20215,0.83129,0.99391,0.99318,0.99414,0.92502,0.42148,0.20474,0.8631,0.000604,0.000604,0.000604
122,23220.3,0.33609,0.20667,0.83248,0.98573,0.99177,0.99423,0.9313,0.4126,0.2101,0.86348,0.0006007,0.0006007,0.0006007
123,23429.4,0.32203,0.20521,0.82893,0.98763,0.99551,0.99455,0.92421,0.41009,0.20988,0.86209,0.0005974,0.0005974,0.0005974
124,23607.4,0.34164,0.21328,0.83721,0.98959,0.9958,0.99452,0.93186,0.3943,0.20589,0.85687,0.0005941,0.0005941,0.0005941
125,23773.8,0.32872,0.20534,0.82874,0.9938,0.99105,0.9946,0.93601,0.39304,0.2037,0.85311,0.0005908,0.0005908,0.0005908
126,23961.4,0.32836,0.20272,0.83229,0.99203,0.99346,0.9945,0.92828,0.40511,0.20492,0.85762,0.0005875,0.0005875,0.0005875
127,24152.7,0.32212,0.20621,0.81932,0.99059,0.99673,0.99462,0.93345,0.40125,0.20723,0.8574,0.0005842,0.0005842,0.0005842
128,24345.6,0.32135,0.20005,0.82817,0.9896,0.99367,0.99464,0.92834,0.39963,0.20738,0.85683,0.0005809,0.0005809,0.0005809
129,24535.3,0.32188,0.19817,0.82943,0.99128,0.99119,0.99468,0.93567,0.39431,0.20057,0.85119,0.0005776,0.0005776,0.0005776
130,24710.6,0.31489,0.19258,0.82432,0.9888,0.99505,0.99469,0.93656,0.38551,0.1935,0.85058,0.0005743,0.0005743,0.0005743
131,24900.9,0.31714,0.19635,0.8235,0.99566,0.99195,0.99462,0.9395,0.37905,0.19548,0.84633,0.000571,0.000571,0.000571
132,25064.1,0.31923,0.20055,0.82568,0.99239,0.9954,0.99451,0.94244,0.38361,0.19567,0.85314,0.0005677,0.0005677,0.0005677
133,25240.5,0.3148,0.19113,0.82261,0.99274,0.99364,0.99438,0.94299,0.37889,0.19162,0.84631,0.0005644,0.0005644,0.0005644
134,25413.9,0.31187,0.19863,0.82643,0.99289,0.99471,0.99472,0.93949,0.37497,0.19317,0.84495,0.0005611,0.0005611,0.0005611
135,25607.9,0.32349,0.20759,0.82128,0.98811,0.99508,0.99457,0.93772,0.3764,0.19602,0.84744,0.0005578,0.0005578,0.0005578
136,25773.8,0.3065,0.194,0.81988,0.99017,0.99148,0.99464,0.93498,0.38207,0.19943,0.85532,0.0005545,0.0005545,0.0005545
137,25971.2,0.30619,0.19082,0.82434,0.99621,0.99446,0.9947,0.94102,0.3768,0.19449,0.84932,0.0005512,0.0005512,0.0005512
